velocity_data_x,velocity_data_y,velocity_data_z
-0.43555,1.4077110000000002,-0.0003799999999999
-0.435631,1.407668,-0.0003779999999999
-0.435713,1.407629,-0.000376
-0.435795,1.407594,-0.000373
-0.435877,1.407563,-0.000371
-0.435961,1.407536,-0.0003689999999999
-0.4360449999999999,1.407513,-0.000366
-0.436131,1.407494,-0.000364
-0.436217,1.407479,-0.000361
-0.436306,1.407468,-0.000359
-0.436396,1.407459,-0.000356
-0.436488,1.407455,-0.000354
-0.4365819999999999,1.407454,-0.000352
-0.4366779999999999,1.407456,-0.000349
-0.436776,1.407461,-0.000347
-0.436876,1.407469,-0.000344
-0.436978,1.4074799999999998,-0.000342
-0.4370819999999999,1.407494,-0.000339
-0.437188,1.40751,-0.000336
-0.437296,1.407529,-0.000334
-0.437406,1.40755,-0.000331
-0.437518,1.407574,-0.000329
-0.4376319999999999,1.407601,-0.0003259999999999
-0.4377479999999999,1.407629,-0.000324
-0.4378649999999999,1.40766,-0.000321
-0.437984,1.407693,-0.000319
-0.438105,1.407728,-0.000316
-0.4382279999999999,1.407766,-0.000314
-0.438353,1.407805,-0.000312
-0.438478,1.4078469999999998,-0.000309
-0.438605,1.40789,-0.000306
-0.438731,1.407936,-0.000304
-0.4388579999999999,1.407984,-0.000301
-0.438983,1.408034,-0.000299
-0.439108,1.408085,-0.000296
-0.439231,1.408139,-0.000294
-0.439354,1.408194,-0.000292
-0.439475,1.408251,-0.000289
-0.439596,1.408309,-0.000287
-0.439716,1.408368,-0.0002839999999999
-0.4398359999999999,1.4084290000000002,-0.0002819999999999
-0.439955,1.408492,-0.00028
-0.440075,1.408556,-0.000277
-0.440194,1.408621,-0.000275
-0.4403149999999999,1.408688,-0.000272
-0.440435,1.408755,-0.00027
-0.440557,1.408824,-0.000267
-0.440679,1.408894,-0.000264
-0.440802,1.408964,-0.000262
-0.440926,1.409036,-0.000259
-0.441051,1.409108,-0.0002569999999999
-0.441177,1.409181,-0.000254
-0.441303,1.4092559999999998,-0.000252
-0.441431,1.40933,-0.000249
-0.4416859999999999,1.409481,-0.000244
-0.441813,1.409557,-0.000242
-0.441939,1.409634,-0.000239
-0.442063,1.409712,-0.000237
-0.4421859999999999,1.40979,-0.000234
-0.4423069999999999,1.409869,-0.0002319999999999
-0.442427,1.409948,-0.000229
-0.4425439999999999,1.410028,-0.000227
-0.4426609999999999,1.410108,-0.000225
-0.442776,1.410188,-0.000222
-0.4428899999999999,1.410269,-0.00022
-0.443004,1.410351,-0.000217
-0.443117,1.410432,-0.000215
-0.44323,1.410514,-0.000212
-0.443343,1.410597,-0.00021
-0.443456,1.41068,-0.000207
-0.4435689999999999,1.410762,-0.000205
-0.4436819999999999,1.410845,-0.000202
-0.443795,1.410928,-0.0002
-0.443909,1.411011,-0.000197
-0.4440229999999999,1.411094,-0.000195
-0.444138,1.411177,-0.000192
-0.4442529999999999,1.41126,-0.0001899999999999
-0.444368,1.411343,-0.000187
-0.444484,1.411426,-0.000185
